"ESmeasure" "K" "npilot" "ES" "alpha" "power" "CountNAn" "CountNAES" "CountNAp"
"1" "eta" 2 10 0.0099 0.05 0.8 18847 18847 18847
"2" "epsilon" 2 10 0.0099 0.05 0.8 623146 623146 623146
"3" "omega" 2 10 0.0099 0.05 0.8 624412 624412 624412
"4" "eta" 3 10 0.0099 0.05 0.8 362 362 362
"5" "epsilon" 3 10 0.0099 0.05 0.8 567010 567010 567010
"6" "omega" 3 10 0.0099 0.05 0.8 567189 567189 567189
"7" "eta" 4 10 0.0099 0.05 0.8 7 7 7
"8" "epsilon" 4 10 0.0099 0.05 0.8 538624 538624 538624
"9" "omega" 4 10 0.0099 0.05 0.8 540141 540141 540141
"10" "eta" 2 25 0.0099 0.05 0.8 26830 26830 26830
"11" "epsilon" 2 25 0.0099 0.05 0.8 568388 568388 568388
"12" "omega" 2 25 0.0099 0.05 0.8 568055 568055 568055
"13" "eta" 3 25 0.0099 0.05 0.8 806 806 806
"14" "epsilon" 3 25 0.0099 0.05 0.8 503751 503751 503751
"15" "omega" 3 25 0.0099 0.05 0.8 503594 503594 503594
"16" "eta" 4 25 0.0099 0.05 0.8 16 16 16
"17" "epsilon" 4 25 0.0099 0.05 0.8 467855 467855 467855
"18" "omega" 4 25 0.0099 0.05 0.8 467103 467103 467103
"19" "eta" 2 50 0.0099 0.05 0.8 30081 30081 30081
"20" "epsilon" 2 50 0.0099 0.05 0.8 476359 476359 476359
"21" "omega" 2 50 0.0099 0.05 0.8 476207 476207 476207
"22" "eta" 3 50 0.0099 0.05 0.8 1153 1153 1153
"23" "epsilon" 3 50 0.0099 0.05 0.8 404189 404189 404189
"24" "omega" 3 50 0.0099 0.05 0.8 403313 403313 403313
"25" "eta" 4 50 0.0099 0.05 0.8 37 37 37
"26" "epsilon" 4 50 0.0099 0.05 0.8 358430 358430 358430
"27" "omega" 4 50 0.0099 0.05 0.8 358899 358899 358899
"28" "eta" 2 10 0.0588 0.05 0.8 11184 11184 11184
"29" "epsilon" 2 10 0.0588 0.05 0.8 429842 429842 429842
"30" "omega" 2 10 0.0588 0.05 0.8 429461 429461 429461
"31" "eta" 3 10 0.0588 0.05 0.8 166 166 166
"32" "epsilon" 3 10 0.0588 0.05 0.8 356509 356509 356509
"33" "omega" 3 10 0.0588 0.05 0.8 355604 355604 355604
"34" "eta" 4 10 0.0588 0.05 0.8 3 3 3
"35" "epsilon" 4 10 0.0588 0.05 0.8 310411 310411 310411
"36" "omega" 4 10 0.0588 0.05 0.8 309086 309086 309086
"37" "eta" 2 25 0.0588 0.05 0.8 7278 7278 7278
"38" "epsilon" 2 25 0.0588 0.05 0.8 218438 218438 218438
"39" "omega" 2 25 0.0588 0.05 0.8 219009 219009 219009
"40" "eta" 3 25 0.0588 0.05 0.8 97 97 97
"41" "epsilon" 3 25 0.0588 0.05 0.8 146302 146302 146302
"42" "omega" 3 25 0.0588 0.05 0.8 146933 146933 146933
"43" "eta" 4 25 0.0588 0.05 0.8 2 2 2
"44" "epsilon" 4 25 0.0588 0.05 0.8 103955 103955 103955
"45" "omega" 4 25 0.0588 0.05 0.8 104048 104048 104048
"46" "eta" 2 50 0.0588 0.05 0.8 2224 2224 2224
"47" "epsilon" 2 50 0.0588 0.05 0.8 67775 67775 67775
"48" "omega" 2 50 0.0588 0.05 0.8 67121 67121 67121
"49" "eta" 3 50 0.0588 0.05 0.8 16 16 16
